Img name,Layer2 In,Layer2 Out,Layer5 In,Layer5 Out,Layer8 In,Layer8 Out,Layer11 In,Layer11 Out
1258,0.436,0.231,0.146,0.132,0.119,0.241,3.433,3.9
1259,0.343,0.538,0.167,0.123,0.134,0.18,3.071,2.686
126,0.226,0.224,0.146,0.21,0.109,0.257,2.231,4.558
1260,0.401,0.278,0.147,0.106,0.117,0.191,4.086,3.697
1262,0.249,0.354,0.183,0.092,0.165,0.144,3.531,2.835
1266,0.304,0.305,0.148,0.185,0.136,0.139,2.206,2.526
1267,0.321,0.227,0.143,0.065,0.186,0.144,5.108,1.315
1268,0.333,0.436,0.168,0.141,0.179,0.136,3.43,2.113
1270,0.281,0.369,0.133,0.186,0.15,0.164,3.498,2.17
1271,0.265,0.308,0.15,0.134,0.137,0.17,3.587,2.663
1272,0.275,0.227,0.133,0.128,0.242,0.165,5.079,3.963
1273,0.342,0.365,0.147,0.153,0.167,0.187,2.977,2.294
1274,0.232,0.276,0.181,0.107,0.202,0.147,5.126,3.451
1275,0.268,0.278,0.087,0.164,0.13,0.183,4.269,2.975
1277,0.456,0.3,0.136,0.149,0.136,0.176,3.473,3.751
1278,0.237,0.258,0.238,0.129,0.196,0.138,4.919,3.256
1280,0.261,0.296,0.133,0.139,0.152,0.243,3.763,4.211
1281,0.282,0.328,0.162,0.212,0.166,0.2,3.198,2.404
1282,0.312,0.213,0.104,0.194,0.091,0.214,2.436,4.46
1288,0.39,0.338,0.128,0.174,0.209,0.161,3.142,1.833
1289,0.313,0.221,0.125,0.205,0.114,0.182,2.954,4.212
129,0.313,0.386,0.186,0.099,0.198,0.149,3.679,3.408
1292,0.317,0.418,0.158,0.146,0.123,0.162,2.217,2.287
1293,0.217,0.26,0.154,0.092,0.171,0.121,3.8,2.623
1294,0.386,0.24,0.16,0.127,0.114,0.199,2.917,3.409
1295,0.432,0.287,0.113,0.184,0.147,0.235,2.598,4.688
1299,0.33,0.432,0.18,0.103,0.181,0.123,3.396,2.093
130,0.36,0.305,0.171,0.131,0.172,0.219,3.781,2.651
1300,0.306,0.242,0.152,0.079,0.163,0.081,4.948,1.484
1301,0.299,0.238,0.17,0.15,0.142,0.184,4.286,3.578
1302,0.245,0.503,0.131,0.167,0.151,0.193,3.37,1.996
1303,0.291,0.418,0.192,0.15,0.172,0.168,4.405,1.547
1304,0.398,0.252,0.151,0.145,0.147,0.239,4.291,5.045
1306,0.37,0.184,0.081,0.191,0.12,0.212,3.308,2.994
1312,0.388,0.213,0.119,0.127,0.104,0.16,4.744,3.84
1313,0.31,0.487,0.149,0.211,0.131,0.164,3.029,1.729
1317,0.39,0.272,0.144,0.125,0.157,0.136,4.606,2.655
1320,0.281,0.228,0.15,0.171,0.17,0.196,4.598,3.356
1322,0.294,0.458,0.137,0.209,0.12,0.201,2.057,0.975
1323,0.285,0.201,0.15,0.15,0.133,0.165,3.319,4.652
1324,0.375,0.231,0.128,0.094,0.116,0.157,3.127,5.472
1325,0.308,0.178,0.172,0.168,0.195,0.258,3.579,4.242
1326,0.382,0.294,0.134,0.217,0.175,0.204,4.536,3.778
1327,0.314,0.441,0.153,0.174,0.131,0.213,3.466,2.605
1329,0.222,0.355,0.143,0.208,0.158,0.231,2.397,2.113
1333,0.37,0.242,0.127,0.128,0.145,0.2,4.303,4.653
1334,0.37,0.176,0.135,0.282,0.12,0.158,3.254,2.537
1335,0.357,0.263,0.135,0.192,0.125,0.161,3.671,3.781
1337,0.216,0.242,0.134,0.217,0.154,0.191,3.22,4.05
1338,0.381,0.258,0.16,0.138,0.132,0.16,3.824,2.214
134,0.327,0.253,0.131,0.136,0.192,0.159,3.426,3.407
1340,0.327,0.485,0.153,0.255,0.132,0.2,2.859,1.485
1341,0.316,0.39,0.146,0.158,0.139,0.343,3.854,3.654
1342,0.399,0.308,0.124,0.151,0.117,0.132,4.359,4.05
1343,0.336,0.332,0.155,0.132,0.127,0.133,4.484,2.95
1344,0.39,0.29,0.163,0.118,0.136,0.124,4.214,2.05
1346,0.307,0.353,0.172,0.172,0.183,0.161,4.046,2.089
1348,0.376,0.332,0.182,0.128,0.142,0.154,4.139,3.157
1351,0.222,0.294,0.144,0.209,0.14,0.252,2.972,1.304
1358,0.284,0.419,0.153,0.134,0.14,0.167,3.663,3.218
1359,0.337,0.364,0.136,0.143,0.118,0.309,3.189,3.397
136,0.345,0.239,0.122,0.201,0.107,0.218,1.975,3.564
1360,0.283,0.433,0.136,0.175,0.122,0.151,2.389,1.85
1361,0.279,0.419,0.121,0.142,0.143,0.215,1.992,1.288
1362,0.31,0.439,0.179,0.195,0.152,0.142,1.732,2.052
1363,0.364,0.366,0.151,0.136,0.119,0.212,3.003,4.373
1364,0.31,0.357,0.165,0.139,0.177,0.153,3.183,1.945
1366,0.312,0.385,0.178,0.115,0.145,0.171,3.661,3.336
1368,0.343,0.333,0.158,0.205,0.143,0.149,2.319,1.946
1369,0.425,0.273,0.182,0.138,0.185,0.139,4.641,2.549
137,0.552,0.279,0.068,0.16,0.061,0.183,2.445,4.748
1370,0.378,0.252,0.147,0.165,0.122,0.184,3.094,3.89
1372,0.375,0.343,0.159,0.167,0.212,0.144,2.783,2.216
1374,0.389,0.229,0.142,0.147,0.114,0.133,3.917,3.083
1375,0.34,0.281,0.143,0.138,0.176,0.121,3.566,2.827
1378,0.274,0.282,0.133,0.117,0.17,0.216,4.624,3.044
1379,0.417,0.324,0.184,0.137,0.173,0.165,3.586,2.848
138,0.193,0.224,0.107,0.148,0.103,0.177,0.473,4.216
1383,0.176,0.302,0.133,0.153,0.165,0.203,3.426,3.428
1386,0.342,0.572,0.155,0.152,0.136,0.083,3.231,1.412
1387,0.319,0.352,0.155,0.145,0.168,0.091,4.841,3.513
1389,0.376,0.31,0.166,0.105,0.155,0.124,3.355,2.637
1392,0.172,0.134,0.143,0.23,0.12,0.202,3.181,3.098
1393,0.352,0.389,0.144,0.164,0.177,0.111,5.051,3.802
1398,0.301,0.264,0.188,0.132,0.177,0.127,3.168,2.96
140,0.451,0.173,0.072,0.142,0.082,0.196,2.288,4.273
1404,0.335,0.265,0.133,0.144,0.124,0.263,3.342,5.215
1405,0.386,0.49,0.142,0.183,0.131,0.203,2.961,3.181
141,0.3,0.307,0.093,0.198,0.079,0.218,1.945,4.338
1411,0.176,0.108,0.137,0.142,0.179,0.135,3.152,1.842
1412,0.199,0.22,0.145,0.133,0.278,0.177,3.39,2.729
1413,0.174,0.167,0.169,0.163,0.164,0.181,3.475,3.894
1414,0.296,0.242,0.141,0.149,0.149,0.092,3.562,2.769
1415,0.26,0.476,0.139,0.13,0.181,0.107,2.443,1.321
1416,0.254,0.189,0.138,0.114,0.159,0.123,3.758,3.121
1418,0.287,0.411,0.183,0.165,0.172,0.16,4.29,2.493
142,0.321,0.256,0.157,0.154,0.147,0.162,3.235,4.732
1421,0.416,0.329,0.179,0.149,0.172,0.182,4.928,4.322
1422,0.379,0.358,0.175,0.098,0.234,0.141,3.173,2.902
1423,0.314,0.251,0.119,0.204,0.099,0.221,3.836,4.967
1424,0.285,0.314,0.176,0.075,0.188,0.143,3.806,4.189
1425,0.356,0.281,0.172,0.137,0.145,0.128,2.257,2.75
1426,0.358,0.343,0.177,0.114,0.161,0.141,3.923,3.231
1429,0.369,0.219,0.148,0.174,0.116,0.213,3.278,4.883
1432,0.354,0.252,0.131,0.185,0.119,0.218,3.208,5.443
1439,0.143,0.29,0.203,0.056,0.174,0.067,1.889,1.211
144,0.311,0.234,0.163,0.145,0.165,0.206,3.467,4.477
1442,0.232,0.453,0.145,0.19,0.159,0.212,2.693,1.8
1446,0.347,0.322,0.168,0.085,0.195,0.057,4.137,2.75
1448,0.289,0.32,0.184,0.088,0.208,0.08,2.993,1.875
1449,0.482,0.318,0.184,0.151,0.236,0.145,4.153,2.731
145,0.324,0.29,0.161,0.151,0.189,0.16,2.756,3.975
1450,0.407,0.257,0.138,0.132,0.174,0.138,3.076,3.082
1451,0.192,0.231,0.177,0.144,0.183,0.136,2.938,1.085
146,0.361,0.359,0.124,0.148,0.145,0.171,3.051,4.047
1460,0.346,0.336,0.166,0.144,0.173,0.18,3.788,3.746
1462,0.364,0.306,0.177,0.161,0.165,0.263,3.2,4.299
1463,0.356,0.251,0.154,0.177,0.108,0.196,3.133,3.665
1465,0.208,0.401,0.19,0.066,0.174,0.066,3.283,1.113
1469,0.274,0.353,0.144,0.16,0.121,0.182,3.353,2.586
1470,0.299,0.295,0.157,0.222,0.131,0.19,3.721,3.275
1475,0.266,0.272,0.167,0.084,0.175,0.158,4.39,1.684
1476,0.303,0.256,0.142,0.149,0.185,0.139,4.412,1.976
1477,0.3,0.319,0.189,0.133,0.196,0.093,4.267,2.099
1481,0.201,0.267,0.16,0.143,0.208,0.141,4.423,2.541
1487,0.365,0.36,0.166,0.16,0.164,0.149,3.684,1.451
1488,0.275,0.412,0.158,0.164,0.131,0.173,2.855,2.544
149,0.13,0.18,0.132,0.158,0.109,0.165,5.322,3.083
1490,0.319,0.293,0.148,0.236,0.13,0.238,2.944,3.882
1492,0.277,0.44,0.143,0.175,0.19,0.184,4.268,1.817
1493,0.299,0.282,0.14,0.166,0.135,0.155,3.265,3.71
1495,0.345,0.387,0.197,0.074,0.162,0.082,3.986,1.604
1497,0.223,0.348,0.148,0.206,0.147,0.179,2.212,2.376
1498,0.29,0.502,0.146,0.212,0.141,0.233,2.857,2.358
15,0.234,0.368,0.171,0.126,0.137,0.159,2.398,3.313
150,0.324,0.286,0.216,0.125,0.145,0.144,4.395,3.3
1500,0.394,0.256,0.214,0.136,0.142,0.21,4.717,3.405
1505,0.402,0.258,0.149,0.176,0.134,0.193,3.671,2.614
1506,0.23,0.169,0.141,0.122,0.155,0.163,2.648,4.201
1507,0.227,0.429,0.158,0.185,0.148,0.236,2.773,1.995
1508,0.141,0.258,0.16,0.169,0.179,0.21,3.491,1.899
1510,0.264,0.324,0.126,0.191,0.119,0.176,3.501,1.985
1511,0.406,0.27,0.136,0.152,0.147,0.112,4.102,2.101
1512,0.329,0.348,0.173,0.159,0.139,0.218,3.524,4.173
1513,0.36,0.325,0.154,0.142,0.227,0.161,3.637,2.942
1515,0.391,0.239,0.147,0.179,0.181,0.272,3.855,4.464
1516,0.36,0.289,0.15,0.161,0.161,0.139,2.203,2.745
1517,0.333,0.318,0.146,0.137,0.179,0.145,3.421,3.19
1519,0.242,0.232,0.13,0.096,0.159,0.203,3.043,3.075
152,0.412,0.186,0.128,0.177,0.081,0.201,3.249,3.573
1522,0.216,0.194,0.15,0.245,0.125,0.226,2.683,5.068
1523,0.204,0.247,0.146,0.255,0.157,0.395,3.032,5.201
1530,0.378,0.248,0.132,0.208,0.122,0.203,3.571,4.217
1535,0.319,0.223,0.149,0.171,0.166,0.237,3.874,3.618
1536,0.287,0.215,0.142,0.198,0.121,0.178,2.659,4.016
1537,0.405,0.286,0.108,0.211,0.145,0.224,3.302,5.002
1538,0.369,0.326,0.192,0.154,0.161,0.148,2.925,3.157
1539,0.37,0.392,0.149,0.072,0.161,0.095,4.375,1.658
154,0.309,0.222,0.109,0.172,0.101,0.194,2.604,3.106
1541,0.209,0.172,0.134,0.223,0.114,0.192,2.222,2.289
1542,0.321,0.282,0.146,0.171,0.135,0.211,3.127,2.621
1543,0.332,0.397,0.178,0.116,0.163,0.107,3.424,1.463
155,0.305,0.181,0.161,0.142,0.186,0.154,3.986,3.348
1560,0.355,0.305,0.149,0.187,0.161,0.206,3.747,3.787
1562,0.344,0.518,0.149,0.192,0.149,0.152,3.272,2.837
1567,0.281,0.136,0.172,0.212,0.155,0.229,3.736,3.901
1569,0.278,0.341,0.167,0.133,0.168,0.138,3.313,1.659
157,0.252,0.191,0.142,0.122,0.16,0.155,4.151,3.926
1571,0.269,0.211,0.135,0.214,0.127,0.222,2.653,4.983
1573,0.361,0.28,0.137,0.132,0.117,0.222,3.2,2.859
1574,0.353,0.293,0.14,0.228,0.142,0.176,2.455,1.186
1577,0.351,0.361,0.156,0.085,0.196,0.135,4.481,3.372
1578,0.442,0.2,0.14,0.195,0.116,0.191,3.345,4.299
1579,0.247,0.358,0.191,0.094,0.205,0.193,3.355,4.11
158,0.232,0.284,0.22,0.133,0.153,0.144,4.296,3.948
1580,0.46,0.304,0.141,0.137,0.129,0.185,4.353,3.85
1581,0.431,0.294,0.16,0.156,0.143,0.171,3.881,2.432
1582,0.412,0.297,0.122,0.134,0.154,0.163,3.664,3.696
1583,0.217,0.275,0.154,0.185,0.17,0.164,3.021,2.466
1587,0.367,0.274,0.137,0.129,0.158,0.168,4.331,3.732
1588,0.323,0.359,0.169,0.141,0.173,0.143,2.54,1.812
1589,0.372,0.288,0.158,0.105,0.156,0.15,3.742,3.025
1590,0.29,0.204,0.154,0.154,0.189,0.155,3.713,3.831
1591,0.208,0.27,0.177,0.111,0.194,0.12,3.108,2.963
1592,0.375,0.232,0.14,0.158,0.181,0.186,4.101,2.922
1593,0.244,0.405,0.121,0.195,0.174,0.216,3.488,1.963
1594,0.397,0.366,0.183,0.079,0.186,0.2,3.979,3.54
1595,0.211,0.243,0.17,0.216,0.166,0.349,3.566,4.502
160,0.351,0.224,0.185,0.124,0.177,0.134,4.848,3.571
1600,0.336,0.385,0.203,0.148,0.166,0.152,3.499,2.289
1601,0.315,0.452,0.157,0.174,0.184,0.193,3.874,2.128
1602,0.36,0.245,0.131,0.089,0.172,0.27,4.377,3.609
1606,0.265,0.41,0.171,0.191,0.158,0.165,3.695,3.931
1607,0.338,0.206,0.163,0.144,0.14,0.129,3.441,3.251
1609,0.201,0.296,0.187,0.049,0.185,0.08,3.966,2.083
161,0.475,0.29,0.15,0.143,0.11,0.211,3.782,3.663
1610,0.374,0.253,0.131,0.168,0.107,0.245,3.548,3.124
1611,0.367,0.495,0.14,0.132,0.136,0.103,3.134,1.892
1612,0.331,0.352,0.161,0.156,0.143,0.205,3.458,3.801
1613,0.325,0.393,0.155,0.149,0.143,0.175,4.169,1.993
1614,0.298,0.399,0.154,0.108,0.144,0.245,3.822,2.673
1615,0.393,0.259,0.139,0.182,0.111,0.171,2.081,3.059
1617,0.385,0.39,0.136,0.234,0.153,0.23,2.969,2.602
1619,0.323,0.211,0.131,0.137,0.16,0.201,3.609,4.41
162,0.468,0.342,0.083,0.149,0.033,0.209,2.89,3.562
1620,0.369,0.281,0.137,0.241,0.137,0.258,2.96,4.35
1629,0.387,0.363,0.172,0.134,0.161,0.151,2.662,1.94
1630,0.348,0.207,0.144,0.137,0.131,0.165,3.445,0.958
1632,0.381,0.305,0.143,0.193,0.095,0.196,2.642,3.873
1633,0.373,0.353,0.143,0.18,0.135,0.182,2.497,2.273
1634,0.384,0.229,0.157,0.2,0.132,0.22,3.582,2.119
1635,0.237,0.297,0.122,0.211,0.111,0.191,2.475,2.802
1636,0.348,0.339,0.177,0.101,0.191,0.124,5.019,2.674
1637,0.258,0.276,0.187,0.169,0.21,0.125,4.385,1.706
1638,0.196,0.213,0.135,0.068,0.165,0.108,3.983,2.688
1639,0.293,0.152,0.127,0.257,0.136,0.257,3.521,4.91
164,0.3,0.375,0.212,0.164,0.178,0.166,3.51,4.054
1640,0.244,0.186,0.144,0.177,0.133,0.253,2.88,3.661
1646,0.382,0.375,0.207,0.107,0.182,0.126,4.403,1.982
165,0.467,0.318,0.142,0.177,0.251,0.171,4.37,4.087
1651,0.298,0.229,0.113,0.183,0.105,0.24,3.551,4.101
1654,0.265,0.386,0.171,0.14,0.157,0.147,2.542,3.407
1656,0.269,0.315,0.167,0.098,0.241,0.096,4.251,2.055
1659,0.308,0.389,0.151,0.166,0.179,0.198,3.484,1.865
166,0.335,0.295,0.131,0.168,0.103,0.153,3.598,3.953
1660,0.34,0.358,0.168,0.141,0.241,0.158,2.927,2.267
1662,0.35,0.325,0.153,0.159,0.187,0.141,3.737,2.141
1663,0.392,0.285,0.154,0.179,0.14,0.214,4.0,3.399
1664,0.353,0.276,0.13,0.262,0.086,0.237,3.2,4.876
