Img name,Layer2 In,Layer2 Out,Layer5 In,Layer5 Out,Layer8 In,Layer8 Out,Layer11 In,Layer11 Out
2257,0.378,0.212,0.09,0.184,0.115,0.225,4.152,4.95
2258,0.29,0.268,0.192,0.125,0.176,0.175,4.892,4.279
2259,0.316,0.381,0.186,0.122,0.156,0.178,3.808,2.91
2260,0.463,0.241,0.12,0.198,0.124,0.183,2.787,1.937
2261,0.214,0.158,0.148,0.158,0.053,0.18,2.562,3.537
2262,0.255,0.318,0.125,0.134,0.178,0.15,4.324,2.199
2263,0.258,0.389,0.146,0.143,0.162,0.151,4.599,2.33
2264,0.365,0.233,0.136,0.184,0.079,0.213,2.301,3.73
2265,0.384,0.279,0.12,0.139,0.108,0.175,3.692,3.087
2266,0.28,0.379,0.167,0.111,0.117,0.188,5.117,2.668
2267,0.308,0.369,0.152,0.157,0.174,0.118,4.942,2.764
2269,0.404,0.257,0.159,0.19,0.13,0.165,2.816,2.909
227,0.353,0.35,0.132,0.173,0.099,0.171,2.767,3.453
2270,0.282,0.256,0.193,0.108,0.159,0.181,4.33,2.395
2271,0.323,0.251,0.122,0.182,0.09,0.23,3.015,4.132
2272,0.296,0.352,0.17,0.09,0.169,0.153,4.187,3.043
2273,0.297,0.252,0.112,0.142,0.162,0.158,3.631,3.697
2274,0.366,0.238,0.101,0.172,0.092,0.191,2.819,3.072
2275,0.393,0.213,0.161,0.172,0.121,0.22,3.648,4.122
2276,0.257,0.319,0.159,0.094,0.186,0.142,4.947,4.122
2277,0.363,0.238,0.166,0.089,0.15,0.183,3.783,4.089
2278,0.444,0.241,0.173,0.173,0.178,0.197,2.283,4.096
2279,0.354,0.324,0.111,0.185,0.113,0.18,2.464,4.62
228,0.154,0.221,0.214,0.16,0.163,0.147,2.92,2.917
2280,0.385,0.262,0.143,0.121,0.15,0.181,4.181,4.247
2281,0.333,0.44,0.13,0.159,0.134,0.161,3.288,2.822
2282,0.292,0.228,0.186,0.184,0.126,0.149,2.721,2.873
2283,0.348,0.335,0.152,0.102,0.141,0.103,3.402,2.07
2284,0.281,0.431,0.144,0.143,0.149,0.153,4.191,2.281
2285,0.272,0.256,0.163,0.158,0.161,0.178,4.123,3.439
2286,0.328,0.243,0.134,0.148,0.162,0.179,3.171,4.28
2287,0.308,0.326,0.17,0.124,0.199,0.084,5.277,2.554
2288,0.371,0.266,0.141,0.092,0.204,0.146,4.622,1.32
2289,0.245,0.324,0.172,0.129,0.253,0.174,3.725,2.679
229,0.242,0.199,0.13,0.191,0.104,0.195,2.162,3.987
2290,0.31,0.304,0.179,0.114,0.208,0.163,4.046,3.394
2291,0.365,0.243,0.122,0.18,0.124,0.184,3.707,3.37
2292,0.208,0.149,0.182,0.143,0.206,0.182,4.825,2.618
2293,0.336,0.276,0.103,0.175,0.102,0.239,3.215,5.175
2294,0.303,0.349,0.18,0.092,0.214,0.089,4.253,2.376
2295,0.348,0.344,0.166,0.131,0.141,0.198,4.578,3.63
2296,0.38,0.284,0.13,0.198,0.112,0.254,3.455,4.978
2297,0.353,0.264,0.143,0.203,0.151,0.207,3.271,5.151
2298,0.236,0.305,0.133,0.153,0.173,0.139,3.411,2.329
2299,0.268,0.337,0.165,0.106,0.18,0.136,4.854,3.764
230,0.141,0.191,0.201,0.182,0.135,0.173,2.828,3.104
2300,0.289,0.359,0.14,0.13,0.178,0.166,4.12,2.905
2301,0.302,0.237,0.117,0.176,0.119,0.151,2.317,4.677
2302,0.366,0.389,0.138,0.143,0.126,0.132,3.475,3.309
2303,0.349,0.283,0.14,0.101,0.138,0.104,3.711,3.207
2304,0.354,0.248,0.127,0.097,0.135,0.159,3.564,5.461
2305,0.36,0.301,0.119,0.177,0.122,0.186,3.471,2.697
2306,0.293,0.381,0.179,0.104,0.154,0.16,3.565,2.669
2307,0.304,0.376,0.176,0.137,0.148,0.214,4.261,3.551
2309,0.213,0.302,0.201,0.094,0.209,0.146,4.214,2.658
2311,0.219,0.316,0.176,0.12,0.179,0.169,4.054,2.684
2312,0.358,0.317,0.123,0.176,0.112,0.202,2.118,3.454
2313,0.384,0.263,0.122,0.156,0.105,0.152,2.462,5.032
2314,0.342,0.341,0.117,0.166,0.14,0.169,3.031,3.279
2315,0.309,0.391,0.146,0.147,0.154,0.188,3.996,2.656
2316,0.328,0.337,0.171,0.097,0.192,0.095,4.222,1.704
2317,0.259,0.412,0.198,0.15,0.164,0.144,3.404,2.459
2318,0.353,0.255,0.118,0.194,0.111,0.212,2.821,3.342
2319,0.355,0.346,0.136,0.185,0.134,0.153,2.68,3.559
232,0.165,0.18,0.166,0.153,0.213,0.143,3.509,3.228
2320,0.296,0.427,0.161,0.156,0.146,0.169,2.893,2.395
2321,0.406,0.301,0.084,0.2,0.074,0.208,3.279,4.281
2322,0.251,0.313,0.136,0.181,0.134,0.194,3.429,3.241
2323,0.381,0.283,0.145,0.201,0.127,0.216,2.886,2.586
2324,0.254,0.33,0.162,0.136,0.147,0.175,3.659,3.159
2325,0.21,0.225,0.172,0.157,0.214,0.178,4.31,2.823
2326,0.374,0.251,0.099,0.175,0.126,0.191,3.738,4.268
2327,0.366,0.362,0.145,0.144,0.136,0.138,3.72,3.165
2328,0.34,0.215,0.149,0.161,0.129,0.232,4.022,4.478
2329,0.374,0.329,0.158,0.144,0.186,0.141,3.917,3.577
233,0.146,0.19,0.195,0.125,0.199,0.2,3.438,2.995
2331,0.284,0.252,0.153,0.154,0.246,0.139,3.617,2.687
2332,0.22,0.325,0.137,0.143,0.161,0.183,3.888,3.008
2333,0.347,0.261,0.143,0.14,0.158,0.192,4.673,1.976
2334,0.255,0.29,0.175,0.127,0.174,0.15,4.92,2.75
2335,0.365,0.256,0.109,0.198,0.11,0.191,3.022,5.073
2336,0.225,0.26,0.159,0.145,0.18,0.127,3.967,2.124
2337,0.373,0.267,0.146,0.176,0.099,0.176,3.498,2.633
2338,0.277,0.324,0.149,0.161,0.157,0.193,3.392,2.472
2339,0.317,0.249,0.106,0.159,0.094,0.248,2.614,3.006
234,0.118,0.19,0.163,0.14,0.172,0.16,3.336,3.298
2340,0.298,0.293,0.177,0.112,0.156,0.152,4.073,4.126
2341,0.317,0.325,0.168,0.1,0.151,0.145,3.993,2.456
2342,0.29,0.386,0.155,0.132,0.152,0.113,4.004,2.575
2343,0.417,0.261,0.111,0.185,0.099,0.179,2.58,3.914
2344,0.313,0.367,0.172,0.156,0.109,0.138,2.926,3.006
2345,0.338,0.368,0.155,0.12,0.155,0.184,4.125,2.929
2346,0.301,0.361,0.167,0.09,0.194,0.095,4.07,1.917
2347,0.378,0.233,0.106,0.179,0.097,0.208,2.582,4.888
2348,0.321,0.31,0.165,0.146,0.145,0.142,4.916,3.555
2349,0.328,0.22,0.16,0.184,0.122,0.214,3.894,4.624
235,0.16,0.137,0.239,0.166,0.142,0.174,2.145,2.66
2350,0.206,0.184,0.171,0.15,0.146,0.16,2.64,3.865
2351,0.333,0.238,0.132,0.17,0.109,0.18,2.722,3.039
2352,0.171,0.164,0.175,0.111,0.216,0.14,4.134,1.576
2353,0.34,0.254,0.136,0.149,0.139,0.196,2.933,3.608
2358,0.32,0.318,0.149,0.084,0.18,0.076,4.191,1.756
2359,0.313,0.196,0.139,0.194,0.17,0.165,3.432,3.748
2360,0.325,0.203,0.164,0.149,0.158,0.159,3.118,4.709
2361,0.432,0.333,0.107,0.137,0.072,0.208,3.715,3.224
2362,0.133,0.213,0.228,0.116,0.181,0.191,2.518,2.198
2363,0.237,0.219,0.123,0.172,0.119,0.217,2.602,4.72
2364,0.187,0.332,0.158,0.132,0.164,0.113,4.016,1.9
2365,0.309,0.371,0.134,0.155,0.159,0.144,3.371,2.435
2366,0.319,0.296,0.145,0.217,0.114,0.273,3.143,5.479
2367,0.286,0.377,0.154,0.092,0.158,0.126,3.767,3.206
2368,0.33,0.331,0.155,0.089,0.135,0.131,3.827,1.282
2369,0.298,0.281,0.154,0.104,0.136,0.195,3.883,3.615
237,0.149,0.159,0.165,0.149,0.18,0.184,4.492,3.553
2370,0.186,0.241,0.145,0.163,0.154,0.215,3.613,1.772
2371,0.216,0.233,0.139,0.146,0.154,0.184,3.018,2.252
2372,0.381,0.266,0.135,0.145,0.122,0.217,3.63,4.707
2373,0.341,0.228,0.11,0.21,0.103,0.223,2.728,3.404
2374,0.348,0.277,0.126,0.159,0.118,0.183,3.189,4.187
2375,0.272,0.311,0.187,0.09,0.19,0.166,3.887,2.429
2376,0.232,0.286,0.176,0.157,0.172,0.169,4.233,1.979
2377,0.333,0.186,0.142,0.165,0.115,0.211,3.011,4.237
2381,0.289,0.342,0.173,0.138,0.177,0.193,3.707,3.76
2382,0.382,0.282,0.112,0.22,0.141,0.185,3.859,5.379
2383,0.267,0.377,0.175,0.143,0.16,0.145,4.438,3.319
2384,0.415,0.285,0.152,0.139,0.127,0.181,3.886,3.542
2385,0.313,0.309,0.146,0.144,0.135,0.162,3.941,2.923
2386,0.322,0.358,0.162,0.129,0.139,0.104,4.128,2.953
2387,0.328,0.276,0.111,0.192,0.129,0.197,3.702,4.846
2388,0.295,0.358,0.134,0.101,0.203,0.129,3.116,2.823
2389,0.302,0.233,0.135,0.117,0.143,0.129,3.775,3.222
239,0.215,0.152,0.19,0.193,0.246,0.154,3.105,3.53
2392,0.344,0.305,0.149,0.149,0.158,0.2,3.803,4.273
2393,0.251,0.319,0.15,0.14,0.169,0.178,4.397,2.749
2394,0.323,0.312,0.128,0.178,0.125,0.178,4.085,3.686
2395,0.358,0.318,0.137,0.166,0.138,0.213,3.938,5.012
2396,0.298,0.384,0.146,0.123,0.165,0.096,4.276,1.759
2398,0.281,0.319,0.15,0.153,0.178,0.169,4.042,2.593
2399,0.243,0.192,0.126,0.195,0.118,0.239,2.846,5.115
240,0.362,0.189,0.088,0.158,0.053,0.157,2.884,4.027
2400,0.268,0.327,0.167,0.143,0.167,0.166,4.092,3.27
2401,0.417,0.252,0.115,0.168,0.126,0.191,3.806,4.361
2402,0.349,0.308,0.205,0.121,0.166,0.177,3.865,4.524
2404,0.304,0.343,0.123,0.133,0.184,0.152,3.716,2.59
2405,0.281,0.432,0.126,0.156,0.13,0.156,3.864,3.026
2407,0.417,0.239,0.117,0.164,0.117,0.179,3.49,4.505
2408,0.275,0.186,0.106,0.203,0.126,0.183,3.234,3.476
2410,0.256,0.189,0.139,0.181,0.133,0.179,3.557,2.647
2411,0.327,0.252,0.154,0.18,0.156,0.238,3.145,3.395
2412,0.325,0.216,0.132,0.147,0.15,0.198,4.132,3.423
2413,0.28,0.25,0.133,0.106,0.144,0.176,4.334,3.22
2414,0.32,0.4,0.177,0.126,0.177,0.113,4.19,1.619
2415,0.311,0.241,0.125,0.187,0.12,0.202,3.821,4.158
2416,0.366,0.263,0.163,0.149,0.135,0.18,3.29,3.256
2417,0.285,0.259,0.135,0.181,0.13,0.179,2.739,2.869
2418,0.243,0.272,0.184,0.156,0.151,0.184,3.671,1.879
242,0.342,0.294,0.172,0.135,0.269,0.172,4.922,4.541
2420,0.309,0.286,0.133,0.12,0.169,0.157,3.721,3.358
2421,0.224,0.341,0.171,0.123,0.173,0.107,3.51,1.077
2422,0.364,0.26,0.15,0.103,0.143,0.122,4.769,2.365
2423,0.359,0.249,0.124,0.144,0.118,0.184,3.279,5.336
2424,0.355,0.234,0.107,0.203,0.104,0.204,2.454,2.566
2425,0.339,0.29,0.149,0.11,0.162,0.096,4.217,3.946
2426,0.305,0.297,0.148,0.112,0.165,0.201,4.122,3.866
2427,0.213,0.298,0.148,0.211,0.166,0.198,3.897,1.742
2429,0.3,0.338,0.163,0.096,0.139,0.157,3.77,3.535
243,0.125,0.118,0.239,0.119,0.183,0.186,3.268,3.235
2430,0.341,0.374,0.167,0.087,0.188,0.162,4.344,2.697
2431,0.237,0.3,0.157,0.086,0.176,0.147,4.052,2.176
2432,0.285,0.275,0.115,0.222,0.128,0.221,3.672,5.297
2433,0.375,0.251,0.127,0.194,0.104,0.173,3.302,3.72
2434,0.252,0.321,0.166,0.146,0.159,0.175,3.83,2.251
2435,0.364,0.254,0.089,0.191,0.091,0.185,2.52,4.147
2437,0.355,0.236,0.127,0.168,0.118,0.181,3.598,3.445
2438,0.282,0.269,0.13,0.143,0.145,0.141,3.069,1.999
244,0.129,0.127,0.196,0.138,0.172,0.195,3.39,3.683
2440,0.261,0.306,0.159,0.1,0.186,0.165,4.59,2.572
2441,0.237,0.351,0.205,0.123,0.196,0.123,3.067,2.177
2443,0.333,0.203,0.123,0.245,0.103,0.153,2.748,2.037
2444,0.297,0.362,0.131,0.179,0.125,0.198,3.253,3.13
2445,0.378,0.186,0.107,0.183,0.095,0.185,3.853,1.674
2446,0.283,0.314,0.166,0.09,0.182,0.169,4.317,3.748
2447,0.357,0.418,0.178,0.139,0.213,0.156,4.507,2.476
2448,0.312,0.326,0.145,0.128,0.126,0.193,3.449,2.745
2449,0.302,0.194,0.111,0.175,0.1,0.217,2.76,3.515
2450,0.255,0.333,0.176,0.114,0.159,0.155,4.395,2.28
2451,0.248,0.367,0.171,0.142,0.161,0.153,3.493,2.602
2452,0.34,0.233,0.134,0.191,0.108,0.229,3.716,5.146
2454,0.282,0.194,0.118,0.204,0.106,0.214,2.85,4.714
2455,0.305,0.346,0.192,0.103,0.182,0.097,4.58,2.138
2459,0.44,0.285,0.15,0.168,0.152,0.201,2.601,4.757
246,0.207,0.296,0.128,0.154,0.123,0.172,3.022,2.398
2460,0.344,0.235,0.121,0.163,0.122,0.173,2.932,4.184
2461,0.254,0.305,0.144,0.185,0.137,0.211,4.295,2.959
2462,0.379,0.264,0.143,0.16,0.149,0.213,3.684,3.826
2465,0.47,0.285,0.102,0.185,0.091,0.163,2.336,3.91
2467,0.247,0.36,0.181,0.125,0.141,0.178,4.218,3.711
2468,0.314,0.31,0.212,0.064,0.212,0.096,3.687,1.834
2469,0.437,0.275,0.098,0.136,0.104,0.165,3.484,4.455
2470,0.308,0.248,0.107,0.184,0.09,0.183,3.047,3.97
2471,0.401,0.258,0.106,0.189,0.088,0.145,2.798,3.603
2472,0.299,0.246,0.114,0.141,0.14,0.146,3.481,3.157
2473,0.16,0.182,0.159,0.14,0.177,0.134,3.916,1.669
2474,0.228,0.22,0.109,0.221,0.076,0.185,1.985,2.03
2476,0.352,0.282,0.077,0.181,0.079,0.141,2.053,4.127
2477,0.336,0.302,0.111,0.171,0.137,0.174,2.697,3.002
248,0.199,0.218,0.174,0.095,0.204,0.174,4.067,3.865
2481,0.346,0.304,0.135,0.132,0.168,0.199,3.656,3.558
2482,0.37,0.262,0.136,0.195,0.119,0.207,2.272,4.522
2483,0.264,0.365,0.135,0.183,0.109,0.167,2.091,2.57
2484,0.263,0.323,0.163,0.106,0.173,0.143,3.867,3.789
2485,0.178,0.359,0.146,0.138,0.182,0.142,3.08,2.597
2486,0.469,0.199,0.124,0.147,0.097,0.142,3.638,3.923
2488,0.321,0.264,0.161,0.128,0.153,0.253,4.472,3.359
2489,0.272,0.381,0.136,0.161,0.153,0.16,4.034,2.537
2490,0.373,0.261,0.129,0.205,0.113,0.216,3.604,5.397
2491,0.314,0.428,0.125,0.16,0.11,0.196,3.196,3.13
2493,0.297,0.335,0.182,0.111,0.163,0.19,3.743,3.478
2494,0.231,0.295,0.171,0.133,0.164,0.144,4.338,2.695
2495,0.345,0.257,0.127,0.158,0.135,0.17,3.064,3.945
2496,0.378,0.397,0.139,0.171,0.14,0.192,3.622,3.958
2497,0.314,0.346,0.168,0.122,0.176,0.171,5.066,3.019
2498,0.261,0.404,0.146,0.15,0.161,0.147,3.997,2.504
2499,0.308,0.381,0.124,0.199,0.127,0.173,2.736,2.902
25,0.228,0.373,0.152,0.166,0.202,0.146,3.435,2.221
250,0.382,0.308,0.219,0.148,0.209,0.155,4.612,3.233
2501,0.353,0.312,0.147,0.142,0.14,0.148,4.152,2.752
2502,0.194,0.284,0.158,0.108,0.2,0.146,3.982,2.332
2504,0.329,0.329,0.156,0.091,0.191,0.115,4.161,2.508
2505,0.219,0.277,0.155,0.102,0.198,0.11,4.125,2.777
2506,0.322,0.446,0.149,0.172,0.136,0.21,3.465,2.644
2507,0.237,0.408,0.176,0.11,0.109,0.187,3.702,3.424
2508,0.23,0.341,0.198,0.148,0.188,0.133,3.236,2.819
2509,0.359,0.256,0.127,0.214,0.13,0.191,3.468,4.477
251,0.114,0.252,0.198,0.151,0.222,0.136,4.288,2.477
2510,0.325,0.375,0.124,0.177,0.125,0.214,3.061,2.887
2511,0.144,0.198,0.128,0.159,0.21,0.204,4.437,1.672
2513,0.275,0.342,0.164,0.108,0.175,0.173,4.626,3.656
2514,0.275,0.437,0.138,0.138,0.144,0.179,4.375,2.555
2515,0.341,0.216,0.12,0.179,0.145,0.19,3.736,5.073
2516,0.281,0.306,0.147,0.112,0.155,0.184,3.61,2.531
2517,0.363,0.219,0.13,0.211,0.15,0.219,3.354,4.784
2518,0.431,0.24,0.068,0.185,0.091,0.202,2.338,3.995
2519,0.262,0.293,0.145,0.178,0.13,0.152,3.817,3.164
2520,0.352,0.338,0.148,0.123,0.153,0.153,4.117,3.391
2521,0.249,0.327,0.144,0.128,0.162,0.18,3.782,2.612
2522,0.309,0.356,0.15,0.113,0.158,0.176,4.122,3.489
2523,0.218,0.348,0.157,0.152,0.157,0.185,3.626,3.054
2524,0.403,0.273,0.139,0.193,0.094,0.168,3.68,4.17
2525,0.236,0.272,0.159,0.148,0.192,0.169,3.222,3.146
2526,0.256,0.466,0.137,0.141,0.15,0.182,4.36,2.721
2527,0.229,0.312,0.155,0.122,0.204,0.115,4.26,2.257
2528,0.315,0.389,0.15,0.158,0.143,0.184,3.493,3.316
2529,0.207,0.311,0.174,0.097,0.191,0.14,3.812,2.016
253,0.338,0.335,0.146,0.127,0.14,0.182,4.162,3.699
2530,0.24,0.291,0.202,0.07,0.185,0.095,4.44,1.545
2531,0.364,0.262,0.118,0.158,0.105,0.173,3.248,4.899
2532,0.37,0.27,0.127,0.159,0.167,0.138,5.097,3.297
2533,0.32,0.272,0.186,0.133,0.132,0.154,4.329,3.629
2534,0.273,0.279,0.156,0.104,0.184,0.133,4.643,2.834
2535,0.28,0.354,0.177,0.157,0.186,0.173,3.347,2.979
2536,0.385,0.213,0.111,0.19,0.11,0.183,2.854,3.883
2537,0.406,0.243,0.147,0.165,0.108,0.148,3.152,3.322
2538,0.281,0.354,0.167,0.159,0.184,0.166,3.632,3.59
2539,0.442,0.281,0.108,0.151,0.12,0.175,3.964,4.235
254,0.297,0.356,0.133,0.128,0.129,0.233,4.092,3.965
2540,0.276,0.342,0.133,0.162,0.163,0.164,4.335,3.121
2541,0.294,0.312,0.158,0.063,0.198,0.067,4.617,1.592
2542,0.269,0.238,0.166,0.148,0.165,0.189,3.713,3.849
2543,0.302,0.27,0.187,0.119,0.142,0.142,3.864,3.437
2544,0.346,0.333,0.137,0.087,0.191,0.156,4.146,3.334
2545,0.233,0.316,0.204,0.14,0.172,0.138,3.142,1.574
2546,0.244,0.207,0.187,0.169,0.187,0.133,3.941,1.693
2547,0.204,0.169,0.16,0.252,0.126,0.141,2.13,3.027
2548,0.223,0.259,0.183,0.144,0.19,0.16,4.435,3.062
2549,0.346,0.331,0.156,0.121,0.204,0.162,4.568,2.377
2550,0.277,0.343,0.136,0.14,0.127,0.247,3.413,2.641
2551,0.343,0.377,0.174,0.145,0.175,0.163,4.043,2.328
2553,0.376,0.398,0.119,0.157,0.136,0.194,3.169,2.598
2554,0.273,0.362,0.172,0.107,0.17,0.131,3.765,2.298
2555,0.272,0.342,0.097,0.178,0.133,0.166,3.421,2.84
2559,0.372,0.259,0.125,0.201,0.098,0.224,2.47,3.879
256,0.302,0.294,0.177,0.125,0.249,0.161,5.427,3.501
2560,0.624,0.335,0.111,0.127,0.232,0.169,4.508,3.923
2561,0.39,0.215,0.072,0.165,0.051,0.193,3.58,3.591
2562,0.23,0.307,0.171,0.122,0.154,0.187,4.218,3.519
2563,0.147,0.176,0.192,0.115,0.204,0.16,3.599,3.074
2564,0.186,0.244,0.185,0.157,0.185,0.174,3.797,2.081
2565,0.363,0.223,0.11,0.159,0.092,0.208,3.315,5.235
2566,0.328,0.234,0.154,0.162,0.162,0.212,5.064,3.48
2567,0.361,0.233,0.118,0.185,0.123,0.162,2.885,4.222
2568,0.303,0.331,0.131,0.188,0.141,0.17,3.221,2.871
2570,0.264,0.323,0.185,0.139,0.116,0.175,3.953,3.123
2571,0.26,0.296,0.195,0.12,0.168,0.149,4.343,2.118
2572,0.434,0.233,0.104,0.157,0.109,0.212,2.184,4.621
2573,0.345,0.189,0.123,0.174,0.111,0.197,2.371,4.53
2574,0.213,0.248,0.168,0.187,0.127,0.163,3.431,2.373
2575,0.268,0.32,0.214,0.075,0.183,0.144,4.227,2.143
2576,0.282,0.357,0.126,0.14,0.148,0.179,4.074,2.6
2577,0.271,0.21,0.134,0.213,0.124,0.153,3.304,2.835
2578,0.279,0.399,0.147,0.12,0.181,0.129,4.143,1.721
2579,0.319,0.307,0.139,0.115,0.115,0.169,3.689,3.509
258,0.287,0.248,0.133,0.156,0.148,0.159,4.314,3.371
2580,0.379,0.26,0.131,0.201,0.108,0.201,2.602,4.636
2582,0.27,0.351,0.169,0.129,0.141,0.127,4.883,3.028
2583,0.297,0.389,0.166,0.113,0.213,0.103,4.291,2.671
2584,0.276,0.323,0.182,0.127,0.167,0.157,3.611,3.626
2585,0.254,0.325,0.166,0.127,0.239,0.168,5.249,3.082
2586,0.323,0.236,0.156,0.114,0.192,0.175,3.332,4.407
2587,0.258,0.308,0.142,0.169,0.154,0.217,2.886,2.532
2588,0.272,0.32,0.156,0.102,0.144,0.131,3.07,3.51
2589,0.275,0.373,0.17,0.114,0.187,0.089,4.2,2.107
259,0.279,0.274,0.129,0.13,0.157,0.145,3.398,4.009
2590,0.356,0.216,0.127,0.169,0.115,0.206,3.135,3.667
2591,0.278,0.284,0.147,0.114,0.17,0.154,3.843,1.687
2592,0.302,0.189,0.123,0.175,0.127,0.202,2.333,4.866
2593,0.384,0.201,0.149,0.16,0.123,0.205,3.198,5.208
2594,0.287,0.304,0.101,0.181,0.154,0.188,3.243,3.249
2597,0.533,0.262,0.123,0.177,0.101,0.178,3.344,3.586
2598,0.349,0.282,0.146,0.153,0.134,0.133,4.188,3.17
2599,0.346,0.205,0.144,0.202,0.11,0.18,3.117,3.955
260,0.345,0.261,0.138,0.104,0.147,0.179,4.573,3.719
2601,0.271,0.294,0.149,0.138,0.16,0.208,3.206,2.061
2602,0.427,0.234,0.117,0.168,0.127,0.155,2.481,2.928
2604,0.396,0.209,0.086,0.183,0.068,0.179,2.474,3.93
2605,0.264,0.342,0.144,0.131,0.147,0.175,3.236,2.72
2606,0.268,0.314,0.186,0.096,0.165,0.106,3.681,1.701
2607,0.22,0.193,0.193,0.084,0.22,0.178,4.856,1.604
2608,0.251,0.27,0.138,0.154,0.11,0.158,2.981,3.453
2609,0.239,0.19,0.073,0.18,0.048,0.168,3.154,2.291
2610,0.345,0.238,0.123,0.166,0.109,0.241,2.476,5.163
2611,0.285,0.252,0.133,0.163,0.129,0.191,3.018,2.836
2612,0.317,0.279,0.168,0.136,0.165,0.133,3.554,2.487
2613,0.252,0.405,0.159,0.115,0.192,0.104,3.86,1.333
2614,0.411,0.242,0.115,0.178,0.097,0.172,2.988,4.079
2615,0.304,0.196,0.137,0.232,0.111,0.212,2.877,3.979
2616,0.308,0.355,0.182,0.126,0.146,0.143,3.867,3.855
2617,0.279,0.364,0.188,0.129,0.14,0.146,4.002,2.805
2618,0.262,0.358,0.193,0.108,0.132,0.153,3.894,2.97
2619,0.226,0.309,0.2,0.148,0.228,0.162,3.805,2.545
2620,0.303,0.303,0.125,0.186,0.161,0.17,3.145,3.169
2621,0.341,0.254,0.131,0.199,0.103,0.241,2.918,4.563
2622,0.244,0.207,0.134,0.177,0.127,0.205,2.831,2.939
2623,0.21,0.276,0.19,0.128,0.187,0.17,4.015,1.603
2624,0.331,0.241,0.154,0.128,0.163,0.122,3.393,1.779
2625,0.372,0.244,0.124,0.202,0.108,0.236,3.039,5.015
2626,0.222,0.162,0.144,0.243,0.161,0.198,2.991,1.85
2628,0.212,0.214,0.156,0.154,0.15,0.181,2.894,2.822
2629,0.265,0.304,0.178,0.068,0.2,0.106,4.361,1.64
2631,0.333,0.287,0.179,0.167,0.171,0.22,4.584,3.949
2632,0.451,0.317,0.134,0.152,0.139,0.163,3.935,4.197
2633,0.474,0.331,0.117,0.167,0.194,0.154,4.64,3.569
2634,0.338,0.342,0.132,0.141,0.173,0.206,4.12,3.05
2635,0.297,0.413,0.142,0.112,0.185,0.102,3.879,2.025
2637,0.258,0.218,0.165,0.142,0.191,0.147,4.247,3.407
2638,0.329,0.268,0.156,0.114,0.225,0.16,4.073,3.568
2639,0.218,0.335,0.169,0.146,0.18,0.176,2.278,2.631
264,0.39,0.272,0.134,0.2,0.08,0.222,2.692,3.755
2641,0.357,0.263,0.127,0.181,0.133,0.214,2.829,5.455
2642,0.345,0.282,0.198,0.108,0.233,0.148,3.987,3.316
2643,0.288,0.383,0.165,0.137,0.161,0.169,3.095,3.27
2644,0.378,0.212,0.128,0.145,0.107,0.192,1.525,4.299
2645,0.328,0.406,0.166,0.149,0.157,0.202,3.358,3.127
2646,0.249,0.331,0.161,0.112,0.15,0.16,2.665,3.375
2648,0.293,0.386,0.151,0.162,0.13,0.177,3.244,2.908
2649,0.289,0.316,0.132,0.155,0.121,0.256,2.818,4.446
265,0.28,0.258,0.166,0.148,0.111,0.18,4.228,3.366
2650,0.378,0.323,0.134,0.197,0.137,0.177,2.09,2.562
2651,0.211,0.193,0.161,0.172,0.127,0.184,3.201,2.978
2652,0.243,0.31,0.162,0.147,0.156,0.21,3.275,2.131
2653,0.305,0.211,0.132,0.16,0.153,0.208,4.045,4.539
2654,0.192,0.326,0.147,0.184,0.119,0.165,2.991,2.292
2656,0.318,0.351,0.144,0.128,0.162,0.287,3.261,3.431
2657,0.379,0.235,0.124,0.177,0.152,0.166,3.134,3.616
2658,0.333,0.294,0.168,0.072,0.183,0.101,3.978,1.591
266,0.458,0.373,0.174,0.165,0.201,0.131,3.463,3.1
2660,0.351,0.297,0.191,0.129,0.236,0.155,3.654,3.568
2661,0.404,0.282,0.128,0.151,0.119,0.167,2.125,3.429
2662,0.42,0.234,0.119,0.208,0.105,0.224,2.426,4.43
2663,0.387,0.305,0.146,0.102,0.18,0.155,3.517,3.069
2666,0.289,0.238,0.136,0.149,0.106,0.165,3.082,3.67
2667,0.257,0.291,0.266,0.126,0.246,0.144,3.286,3.44
2668,0.288,0.217,0.158,0.138,0.181,0.254,3.003,4.668
267,0.338,0.447,0.161,0.178,0.176,0.133,3.703,3.093
2673,0.288,0.38,0.146,0.156,0.157,0.297,3.529,4.274
2674,0.261,0.291,0.1,0.169,0.128,0.207,3.674,3.508
2676,0.259,0.209,0.127,0.208,0.137,0.183,2.497,2.901
2677,0.358,0.271,0.119,0.175,0.126,0.167,3.258,3.505
2678,0.376,0.329,0.213,0.103,0.224,0.144,3.966,4.313
2679,0.162,0.275,0.158,0.167,0.179,0.171,3.279,2.354
268,0.396,0.404,0.149,0.158,0.133,0.118,1.56,2.915
2680,0.379,0.398,0.157,0.07,0.168,0.117,4.23,1.212
2681,0.465,0.307,0.141,0.151,0.175,0.21,3.927,4.098
2682,0.329,0.411,0.142,0.085,0.155,0.159,3.785,3.614
2683,0.223,0.292,0.164,0.156,0.195,0.157,4.009,2.093
2684,0.309,0.214,0.123,0.198,0.124,0.232,3.144,3.493
2685,0.336,0.202,0.135,0.227,0.134,0.196,3.156,3.499
2687,0.431,0.274,0.104,0.157,0.11,0.175,2.123,3.912
2688,0.365,0.31,0.125,0.172,0.126,0.162,2.46,3.698
